step,total_loss,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10,loss_11,loss_12
1000,0.3714638352394104,0.0031409035436809063,0.13912129402160645,0.0004981305683031678,0.0006048204959370196,0.003846081905066967,0.07936043292284012,0.10912512987852097,0.02125086449086666,0.007319202180951834,0.0023456374183297157,0.0015896945260465145,0.0032616318203508854
2000,0.14304675161838531,0.0074542732909321785,0.03075413405895233,0.0007196197984740138,0.0009980500908568501,0.003187228227034211,0.06080342456698418,0.023516256362199783,0.011019393801689148,0.0028046283405274153,0.0006473942194133997,0.0003558392636477947,0.0007865058723837137
3000,0.08922747522592545,0.005965778604149818,0.016283264383673668,0.00147992221172899,0.0015058859717100859,0.004469654988497496,0.04509150981903076,0.005637203808873892,0.006412031129002571,0.001599008566699922,0.0003224188694730401,0.00011249634553678334,0.0003483073669485748
4000,0.06195279583334923,0.004457217641174793,0.004696087911725044,0.0017961832927539945,0.0011055807117372751,0.004047405906021595,0.0354459322988987,0.004488666076213121,0.004294160753488541,0.0012316443026065826,0.00018122245091944933,5.477331069414504e-05,0.00015392297063954175
5000,0.04665462672710419,0.005118262954056263,0.0012336340732872486,0.0024538300931453705,0.00133065739646554,0.0054869805462658405,0.024285253137350082,0.0024271116126328707,0.0030473715160042048,0.0010928775882348418,9.588922694092616e-05,3.539466706570238e-05,4.736856135423295e-05
6000,0.030045274645090103,0.0018801982514560223,0.0011534644290804863,0.0030670054256916046,0.0010603046976029873,0.0036884592846035957,0.013488451018929482,0.002352065872400999,0.0023669193033128977,0.0009605322265997529,8.124035957735032e-06,1.1288409041299019e-05,8.460339813609608e-06
7000,0.015330168418586254,0.0006312507321126759,0.001204833504743874,0.001871208194643259,0.00040592256118543446,0.0015506413765251637,0.005135382525622845,0.0021327633876353502,0.0017965792212635279,0.0005943862488493323,7.579661343015687e-08,5.786411293229321e-06,1.3395145970207523e-06
8000,0.010008121840655804,0.0011472810292616487,0.0006134603172540665,0.001177072525024414,0.0002749849809333682,0.0008826031698845327,0.002510308288037777,0.0016944351373240352,0.0013690758496522903,0.0003330196486786008,4.926476560029869e-09,5.450849130284041e-06,4.242411364430154e-07
9000,0.007155989296734333,0.0005969846970401704,0.00036235747393220663,0.0005666367942467332,0.00016377921565435827,0.0005932930507697165,0.00196908344514668,0.0016149572329595685,0.001088783610612154,0.00019600916130002588,1.791537584949765e-09,3.884785655827727e-06,2.1836730468294263e-07
10000,0.005546242464333773,0.00024737787316553295,0.0005033835768699646,0.00036956818075850606,0.0001224889128934592,0.00041637098183855414,0.001426282455213368,0.0014677400467917323,0.0008691352559253573,0.00012104911729693413,1.8592747341728e-09,2.6980189886671724e-06,1.4618548505040962e-07
11000,0.004544094204902649,0.00036645017098635435,0.0002833072212524712,0.0003416819090489298,8.601102308603004e-05,0.00031872891122475266,0.0010430773254483938,0.0013085545506328344,0.0007189285242930055,7.527445995947346e-05,2.795793596632734e-09,1.9664853425638285e-06,1.1079253425805291e-07
12000,0.00391284329816699,0.00017526955343782902,0.0002537691034376621,0.0003228386049158871,0.0001094188482966274,0.000252871512202546,0.0008461530669592321,0.0012998116435483098,0.0006003750022500753,5.081819472252391e-05,3.059538622451896e-09,1.4261387377700885e-06,8.826579289689107e-08
13000,0.003207300789654255,0.0001839621108956635,0.0001504978135926649,0.00018201017519459128,6.597608444280922e-05,0.00016578679787926376,0.0007964566466398537,0.00111247762106359,0.0005129434866830707,3.6078101402381435e-05,2.542601906796449e-09,1.0373679515396361e-06,7.216378605789942e-08
14000,0.002754000946879387,9.025391773320735e-05,9.778481035027653e-05,0.00012617562606465071,5.1776543841697276e-05,0.0001231537025887519,0.0007638478418812156,0.0010245200246572495,0.00044838309986516833,2.716880953812506e-05,2.2347270700606714e-09,8.696168265487358e-07,6.438401811692529e-08
15000,0.0026433211751282215,9.848427725955844e-05,0.0001474985620006919,9.642989607527852e-05,3.669886791612953e-05,0.00010115992336068302,0.0007564396946690977,0.0009801186388358474,0.0004042613145429641,2.1431482309708372e-05,2.4435202750083818e-09,7.37759819458006e-07,5.828933424822935e-08
16000,0.0023451289162039757,0.00012899508874397725,0.00013970441068522632,6.367290916386992e-05,2.466148362145759e-05,5.83851506235078e-05,0.000722614408005029,0.0008186487248167396,0.0003696630010381341,1.802266160666477e-05,3.2354769974318742e-09,7.0183654088396e-07,5.595061480789809e-08
17000,0.0020900897216051817,7.786157948430628e-05,6.671876326436177e-05,5.656927532982081e-05,3.825134626822546e-05,4.527985583990812e-05,0.0007004869403317571,0.0007516125915572047,0.00033778438228182495,1.4844853467366192e-05,4.895960081796602e-09,6.211483878360013e-07,5.3950362399746155e-08
18000,0.0019187176367267966,6.604690133826807e-05,8.5968837083783e-05,4.46045451099053e-05,2.46845720539568e-05,4.0164282836485654e-05,0.0006807167665101588,0.000659470388200134,0.00030396401416510344,1.2468422028177883e-05,7.818275804538644e-09,5.670996188200661e-07,5.404015013255048e-08
19000,0.0017549520125612617,3.5252382076578215e-05,5.8996894949814305e-05,3.5242948797531426e-05,2.082682476611808e-05,3.182822547387332e-05,0.0006814031512476504,0.0006044150213710964,0.00027582881739363074,1.0589359590085223e-05,1.0985406362351569e-08,5.033795673625718e-07,5.4013984396306114e-08
20000,0.001581662567332387,4.348014772403985e-05,5.6618442613398656e-05,2.966754254885018e-05,2.0680183297372423e-05,2.2846705178380944e-05,0.0006054550176486373,0.000541498011443764,0.0002520197303965688,8.868882105161902e-06,1.4821975646839292e-08,4.574353340558446e-07,5.572188044311588e-08
21000,0.0011116708628833294,7.104548421921209e-05,8.918793901102617e-05,2.3204251192510128e-05,4.27101222157944e-05,2.5605433620512486e-05,0.00020681343448814005,0.00040936461300589144,0.00023537430388387293,7.955501132528298e-06,2.759653305872689e-08,3.206744736417022e-07,6.141786457192211e-08
22000,0.0010896904859691858,9.617135947337374e-05,7.865916995797306e-05,1.3307109838933684e-05,3.096877480857074e-05,1.69726372405421e-05,0.00017845512775238603,0.0004388040688354522,0.00022864816128276289,7.366092631855281e-06,2.1407979389209686e-08,2.6978355549545086e-07,4.678386389400657e-08
23000,0.0011334887240082026,7.481726788682863e-05,0.00013179751113057137,1.2487658750615083e-05,2.7966056222794577e-05,1.4547976206813473e-05,0.0001669470511842519,0.00048293115105479956,0.0002147403865819797,6.917428891028976e-06,2.2885481953949238e-08,2.725579122397903e-07,4.0785973709489554e-08
24000,0.0009038103744387627,4.2936040699714795e-05,9.30446622078307e-05,6.6147895267931744e-06,2.1165433281566948e-05,1.1430485756136477e-05,0.00013792593381367624,0.0003772229247260839,0.0002067272289423272,6.414805739041185e-06,2.2764117701967734e-08,2.693625731353677e-07,3.589125441294527e-08
25000,0.0009580501355230808,7.716961408732459e-05,7.468706462532282e-05,4.617956619767938e-06,2.338143895030953e-05,7.725846444373019e-06,0.00014697805454488844,0.0004162041295785457,0.00020101766858715564,5.961625447525876e-06,2.1770397040654643e-08,2.5353287469442876e-07,3.140211290997286e-08
26000,0.0009046300547197461,4.060121500515379e-05,8.187605999410152e-05,5.6495318858651444e-06,1.8410237316857092e-05,6.621621650992893e-06,0.00013407872756943107,0.0004197883536107838,0.00019164322293363512,5.66586822969839e-06,2.087572426034967e-08,2.4666115905347397e-07,2.7673538127714892e-08
27000,0.0008167079649865627,6.606822717003524e-05,6.203132215887308e-05,2.4182675133488374e-06,1.1897710464836564e-05,3.706309598783264e-06,0.00011216673738090321,0.00036837783409282565,0.00018434938101563603,5.424143637355883e-06,1.9065923950734032e-08,2.2444146452471614e-07,2.4495060202411878e-08
28000,0.000841992034111172,6.882000161567703e-05,4.346863352111541e-05,2.129266022166121e-06,1.1310374247841537e-05,3.0473720471491106e-06,0.00012141765910200775,0.0004053886223118752,0.00018105856725014746,5.1054530558758415e-06,1.7988462275297934e-08,2.0686181301243778e-07,2.126603959595741e-08
29000,0.0009372290223836899,3.208584894309752e-05,7.415100117214024e-05,2.7682463041855954e-06,2.5009831006173044e-05,2.9280170110723702e-06,0.00012579634494613856,0.0004956813645549119,0.0001736166886985302,4.961480499332538e-06,1.7377853822608813e-08,1.9426562403168646e-07,1.848250619218561e-08
30000,0.0007997620850801468,7.076547626638785e-05,7.955686305649579e-05,1.1691165582305985e-06,9.878729542833753e-06,2.238661863884772e-06,9.897699055727571e-05,0.00036464250297285616,0.00016758605488575995,4.733579771709628e-06,1.5486397941799623e-08,1.8281896529970254e-07,1.5758876870108907e-08
31000,0.0008225322235375643,8.354440069524571e-05,5.098931796965189e-05,9.347451737085066e-07,1.2911580597574357e-05,2.2739789073966676e-06,0.00011034991621272638,0.00039191258838400245,0.00016491985297761858,4.498621819948312e-06,1.351178635644601e-08,1.7019094400438917e-07,1.3490106809399549e-08
32000,0.0008028234587982297,1.3328754903341178e-05,5.5139167670859024e-05,1.2351584928183001e-06,1.163436536444351e-05,2.3768948267388623e-06,0.00011156122491229326,0.00044466721010394394,0.00015842221910133958,4.282651389075909e-06,1.2080705324990504e-08,1.5263833574863384e-07,1.1039825942305015e-08
33000,0.0007310095825232565,6.729973392793909e-05,3.5969649616163224e-05,6.275017767620739e-07,1.0521231160964817e-05,1.7730899344314821e-06,9.162838978227228e-05,0.00036607138463295996,0.0001527898566564545,4.169605745119043e-06,1.0962237340095271e-08,1.3919571983933565e-07,9.098264364126862e-09
34000,0.000821777037344873,8.703038474777713e-05,5.6386052165180445e-05,6.262462761696952e-07,9.137525921687484e-06,1.5297055142582394e-06,0.0001013872679322958,0.0004108822613488883,0.0001506777771282941,3.975871095462935e-06,9.138105383499351e-09,1.2790995640443725e-07,6.951195619109285e-09
35000,0.0007576754433102906,7.5896796261076815e-06,5.4983778682071716e-05,7.988164156813582e-07,9.184617738355882e-06,1.8761633100439212e-06,0.00010479956836206838,0.0004291579534765333,0.00014522738638333976,3.923894837498665e-06,7.532181101055357e-09,1.2083536660156824e-07,5.266256319913509e-09
36000,0.0006947140791453421,4.63607138954103e-05,4.989084118278697e-05,6.1221271607792e-07,7.739288776065223e-06,1.464293973185704e-06,8.02299618953839e-05,0.0003638086491264403,0.00014081905828788877,3.670223804874695e-06,6.0463221096540565e-09,1.0872997791011585e-07,4.041599943604979e-09
37000,0.0008032800978980958,9.74310387391597e-05,7.518759230151772e-05,4.865447635893361e-07,4.992229150957428e-06,1.7549532458360773e-06,9.283802501158789e-05,0.00038793415296822786,0.00013894852600060403,3.5986784041597275e-06,5.042867456950262e-09,1.0016999851814035e-07,3.094799749803201e-09
38000,0.0007772044627927244,1.2739310477627441e-05,6.28322086413391e-05,6.391989018084132e-07,5.6126027629943565e-06,1.940188667504117e-06,0.00010020309127867222,0.0004560837405733764,0.00013355091505218297,3.505321728880517e-06,4.1787275861793205e-09,9.129675504482293e-08,2.4445367952097286e-09
39000,0.0006846881005913019,4.1737188439583406e-05,7.193278725026175e-05,5.000926535103645e-07,5.566998424910707e-06,1.516830252512591e-06,7.551031740149483e-05,0.0003550690889824182,0.00012941157910972834,3.3526107472425792e-06,3.2673832528473667e-09,8.55360156037932e-08,1.8392726230942458e-09
40000,0.0007406241493299603,7.816970901330933e-05,4.167747829342261e-05,4.174485468411149e-07,3.093006853305269e-06,1.3084633110338473e-06,8.67902854224667e-05,0.0003982792259193957,0.00012760149547830224,3.205856046406552e-06,2.412622324143854e-09,7.735639684369744e-08,1.4318859431483588e-09
41000,0.000744276272598654,1.6195532225538045e-05,3.8802725612185895e-05,4.5768609879814903e-07,6.002017471473664e-06,1.4476020169240655e-06,9.794703510124236e-05,0.0004576047358568758,0.00012266644625924528,3.077847395616118e-06,1.719571152136723e-09,7.178276462127542e-08,1.1304912561627134e-09
42000,0.0006477127899415791,3.991972334915772e-05,5.2341663831612095e-05,2.331893824703002e-07,3.2509217362530762e-06,1.074657347999164e-06,7.253152580233291e-05,0.00035614645457826555,0.00011916123912669718,2.9876393909944454e-06,1.1873131366968437e-09,6.367504568061122e-08,9.169345838166976e-10
43000,0.0007295151590369642,7.513471064157784e-05,6.139893957879394e-05,1.8189541606261628e-07,3.173689492541598e-06,1.0492818773855106e-06,8.299433102365583e-05,0.0003853964735753834,0.00011722631461452693,2.9005743726884248e-06,9.096584596690604e-10,5.7260027830352556e-08,7.404389879006601e-10
44000,0.0006811313214711845,1.1863288818858564e-05,5.19620552950073e-05,2.1605023903248366e-07,3.5858604405802907e-06,1.0828732683876297e-06,9.086271893465891e-05,0.00040593204903416336,0.00011278378224233165,2.7912647055927664e-06,7.314708838634942e-10,5.0003162499479004e-08,6.195640667172597e-10
45000,0.0006166944513097405,3.312960689072497e-05,3.8724370824638754e-05,1.2026475815218873e-07,2.5641675165388733e-06,9.445448654332722e-07,7.13234330760315e-05,0.00035796352312900126,0.00010922578076133505,2.652101557032438e-06,6.361535742627211e-10,4.5508372181757295e-08,4.983303769634517e-10
46000,0.0007050292333588004,6.98798758094199e-05,6.82309691910632e-05,1.1039714564731185e-07,2.3322083961829776e-06,1.035747914102103e-06,8.221633470384404e-05,0.00037158021586947143,0.00010702809959184378,2.574965719759348e-06,5.378710810077791e-10,3.9392162420881505e-08,4.3735590149474035e-10
47000,0.0007003096980042756,8.91242871148279e-06,5.758351835538633e-05,1.3102399520903418e-07,3.3656838240858633e-06,1.1214604000997497e-06,8.688896923558787e-05,0.0004369757662061602,0.00010281402501277626,2.4810169634292834e-06,4.793294650085045e-10,3.489653721544528e-08,3.7376030048719144e-10
48000,0.00064152164850384,4.305662514525466e-05,6.671642768196762e-05,1.3692283573618624e-07,3.263717189838644e-06,1.0801286407513544e-06,6.718680378980935e-05,0.000358176592271775,9.952084656106308e-05,2.3503132524638204e-06,4.374852424771092e-10,3.255491520803844e-08,2.929276543550685e-10
49000,0.0006674849428236485,6.902011227793992e-05,4.062747029820457e-05,1.106299123421195e-07,2.3441450593963964e-06,1.2199284356029239e-06,7.910098065622151e-05,0.00037535931915044785,9.741278336150572e-05,2.2598521809413796e-06,3.815843196974811e-10,2.904357110367073e-08,2.6071961256590725e-10
